clip_id,start_frame,end_frame,label_start_frame,label_end_frame,target_class,event_id,event_overlap_frames,window_id
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,392,455,415,430,background,,0,49
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,400,463,423,438,background,,0,50
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,408,471,431,446,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,6,51
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,416,479,439,454,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,14,52
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,424,487,447,462,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,53
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,432,495,455,470,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,54
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,440,503,463,478,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,55
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,448,511,471,486,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,56
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,456,519,479,494,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,57
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,464,527,487,502,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,58
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,472,535,495,510,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,59
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,480,543,503,518,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,60
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,488,551,511,526,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,61
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,496,559,519,534,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,16,62
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,504,567,527,542,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0006,11,63
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,512,575,535,550,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0007,12,64
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,520,583,543,558,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0007,16,65
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,528,591,551,566,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0007,16,66
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,536,599,559,574,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0007,16,67
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,544,607,567,582,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0007,8,68
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,552,615,575,590,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,15,69
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,560,623,583,598,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,70
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,568,631,591,606,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,71
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,576,639,599,614,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,72
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,584,647,607,622,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,73
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,592,655,615,630,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,74
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,600,663,623,638,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,16,75
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,608,671,631,646,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,13,76
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,616,679,639,654,turnover,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p__event_0008,5,77
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,624,687,647,662,background,,0,78
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,632,695,655,670,background,,0,79
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,640,703,663,678,background,,0,80
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,648,711,671,686,background,,0,81
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,656,719,679,694,background,,0,82
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,664,727,687,702,background,,0,83
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,672,735,695,710,background,,0,84
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h1_720p,680,743,703,718,background,,0,85
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,0,63,23,38,background,,0,86
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,8,71,31,46,background,,0,87
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,16,79,39,54,background,,0,88
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,24,87,47,62,background,,0,89
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,32,95,55,70,background,,0,90
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,40,103,63,78,background,,0,91
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,48,111,71,86,background,,0,92
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,56,119,79,94,background,,0,93
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,64,127,87,102,background,,0,94
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,72,135,95,110,background,,0,95
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,80,143,103,118,background,,0,96
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,88,151,111,126,background,,0,97
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,96,159,119,134,background,,0,98
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,104,167,127,142,background,,0,99
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,112,175,135,150,background,,0,100
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,120,183,143,158,background,,0,101
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,128,191,151,166,background,,0,102
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,136,199,159,174,background,,0,103
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,144,207,167,182,background,,0,104
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,152,215,175,190,background,,0,105
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,160,223,183,198,background,,0,106
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,168,231,191,206,background,,0,107
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,176,239,199,214,background,,0,108
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,184,247,207,222,background,,0,109
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,192,255,215,230,background,,0,110
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,200,263,223,238,background,,0,111
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,208,271,231,246,background,,0,112
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,216,279,239,254,background,,0,113
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,224,287,247,262,background,,0,114
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,232,295,255,270,background,,0,115
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,240,303,263,278,background,,0,116
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,248,311,271,286,background,,0,117
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,256,319,279,294,background,,0,118
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,264,327,287,302,background,,0,119
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,272,335,295,310,background,,0,120
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,280,343,303,318,background,,0,121
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,288,351,311,326,background,,0,122
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,296,359,319,334,background,,0,123
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,304,367,327,342,background,,0,124
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,312,375,335,350,background,,0,125
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,320,383,343,358,background,,0,126
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,328,391,351,366,background,,0,127
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,336,399,359,374,background,,0,128
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,344,407,367,382,background,,0,129
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,352,415,375,390,background,,0,130
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,360,423,383,398,background,,0,131
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,368,431,391,406,background,,0,132
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,376,439,399,414,background,,0,133
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,384,447,407,422,background,,0,134
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,392,455,415,430,background,,0,135
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,400,463,423,438,background,,0,136
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,408,471,431,446,background,,0,137
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,416,479,439,454,background,,0,138
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,424,487,447,462,background,,0,139
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,432,495,455,470,background,,0,140
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,440,503,463,478,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,5,141
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,448,511,471,486,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,13,142
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,456,519,479,494,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,143
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,464,527,487,502,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,144
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,472,535,495,510,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,145
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,480,543,503,518,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,146
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,488,551,511,526,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,147
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,496,559,519,534,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,16,148
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,504,567,527,542,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0002,12,149
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,512,575,535,550,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,7,150
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,520,583,543,558,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,15,151
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,528,591,551,566,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,152
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,536,599,559,574,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,153
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,544,607,567,582,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,154
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,552,615,575,590,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,155
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,560,623,583,598,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,156
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,568,631,591,606,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,157
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,576,639,599,614,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,158
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,584,647,607,622,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,159
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,592,655,615,630,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,160
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,600,663,623,638,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,161
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,608,671,631,646,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,162
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,616,679,639,654,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,16,163
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,624,687,647,662,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,11,164
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,632,695,655,670,pass,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0003,3,165
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,640,703,663,678,background,,0,166
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,648,711,671,686,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0004,8,167
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,656,719,679,694,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0004,9,168
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,664,727,687,702,carry,england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p__event_0004,1,169
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,672,735,695,710,background,,0,170
england_epl__2014_2015__2015_04_11___19_30_Burnley_0___1_Arsenal__h2_720p,680,743,703,718,background,,0,171
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,0,63,23,38,background,,0,172
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,8,71,31,46,background,,0,173
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,16,79,39,54,pass,england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p__event_0002,6,174
england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p,24,87,47,62,pass,england_epl__2015_2016__2015_08_30___18_00_Swansea_2___1_Manchester_United__h1_720p__event_0002,14,175
