clip_id,readiness_status,temporal_frames_path,unified_candidates_path,tracks_path,ball_tracks_path,team_assignments_path,possession_path,frame_count,unified_event_rows,normalized_candidate_events,background_possible,feature_column_count_probe,gold_dependency_detected,warnings,reasons
england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h1_720p\possession\possession.csv,750,72,72,1,74,0,,
england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_13___20_30_Chelsea_5___1_Newcastle_Utd__h2_720p\possession\possession.csv,750,48,48,1,74,0,,
england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h1_720p\possession\possession.csv,749,41,41,1,74,0,,
england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_02_27___18_00_Southampton_1___2_Chelsea__h2_720p\possession\possession.csv,749,26,26,1,74,0,,
england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h1_720p\possession\possession.csv,749,77,77,1,74,0,,
england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_05___18_00_Manchester_City_4___0_Aston_Villa__h2_720p\possession\possession.csv,749,82,82,1,74,0,,
england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h1_720p\possession\possession.csv,750,47,47,1,74,0,,
england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_03_20___19_00_Manchester_City_0___1_Manchester_United__h2_720p\possession\possession.csv,750,60,60,1,74,0,,
england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2015_2016__2016_04_23___17_00_Bournemouth_1___4_Chelsea__h1_720p\possession\possession.csv,750,59,59,1,74,0,,
england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_01___14_30_Swansea_1___2_Liverpool__h1_720p\possession\possession.csv,750,31,31,1,74,0,,
england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_02___18_30_Burnley_0___1_Arsenal__h1_720p\possession\possession.csv,750,67,67,1,74,0,,
england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_10_22___17_00_Arsenal_0___0_Middlesbrough__h2_720p\possession\possession.csv,750,50,50,1,74,0,,
england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2016_12_04___16_30_Bournemouth_4___3_Liverpool__h2_720p\possession\possession.csv,750,72,72,1,74,0,,
england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p,READY,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\temporal_frames.csv,E:\Projects\Sports-Analytics-Project\temporal_module\data\derived\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\events\event_candidates_unified.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\tracks\tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\tracks\ball_tracks.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\teams\player_teams.csv,E:\Projects\Sports-Analytics-Project\outputs\england_epl__2016_2017__2017_04_09___18_00_Everton_4___2_Leicester__h1_720p\possession\possession.csv,750,59,59,1,74,0,,
